Text,Annotation
Putin After Announcing #CovidVaccine #Russian https://t.co/rNDFFcaHNd,False
Courtesy: WA! #WhatsApp #COVID #CovidVaccine https://t.co/zQNeLva9GJ,False
4 of the vaccines Jared bought are expected to fail and Trump refuses to join the global… https://t.co/nBO2o0PNok,False
One day you will realize CDC Guidelines magically aligned with Teachers Unions demands,False
Im far from lying.  Current CDC guidelines is wearing a mask indoors and if you aren’t vaccinated. Is that wrong?,True
"Russia’s Covid vaccine ‘Sputnik-V’ might be released for civilian use this week, says report #CovidVaccine
#SputnikV
https://t.co/je1m0MrQOe",False
"I don’t see masks. In fact, my child was there…and we respected her decision not to wear a mask according to CDC guidelines. We also respected the decision of others if they chose to wear one. It’s that simple. That’s what we should instill in our children. Choice.",True
"I am fully vaccinated, unless CDC guidelines change, I don't wear a mask.",True
we ask every single person that walks in so we know if they need to wear a mask per CA and CDC guidelines. if they aren't willing to confirm/deny vaccination they are asked to leave. this isn't hard. only in American can a life-saving vaccine be made political. congrats GQP,True
will the sense touch 40k after a #CovidVaccine is released for unregulated sale in India?,False
"Health ministry approval Covid vaccine in Russia
#CovidVaccine https://t.co/cc1ha1cYCr",False
10 Days of Onam names | in kerala https://t.co/A2nX9r7OkB via #onam #kerala #VinayagarChathurthi2020… https://t.co/3W4UjMXeng,False
"amazing review and insights from #vaccine experts I highly recommend! 
*cold storage
 *safety issues… https://t.co/Mr4OTUlhga",False
Pretty sure the only people wearing masks right now are the vaccinated people.  The antivaxx people are also anti mask.  The CDC did a terrible job with their new mask guidelines.,True
These patients are slowly being tortured and then fully tortured when all off the meds. I feel for all the CPP pts may God give them relief soon. The cdc guidelines are changing within a.year. it will be better for cpp.,False
Safety &amp; efficacy of #CovidVaccine must follow science protocols - NOT political pressure. https://t.co/IQ0bDZ6ZU5,False
unveils online platform to ease #CovidVaccine #supplychain challenges - #COVID19 #pandemic #logistics #Cargo… https://t.co/mVHWKQZ7Nm,False
One reason the CDC mask guidelines are so reprehensible.,True
"I love how all he’s saying is that “I don’t believe in the science of vaccines, the CDC guidelines, or the rest of the country that is aligned with the cdc”",False
Russia becomes first country to register a coronavirus vaccine. #Russia #Putin #coronavirus #CovidVaccineRace… https://t.co/T1gouBKnnp,False
China’s Sinovac Biotech plans to start a clinical trial of its experimental vaccine against the coronavirus disease… https://t.co/lblV2b6ep6,False
